USERNAME,FIRSTNAME,LASTNAME,EMAIL,TITLE,ROLE,MANAGER_USERNAME,PASSWORD
judeharvey,Jude,Harvey,jude.harvey@gmail.com,Chief Executive Officer,csuite,,balhbalhs
johnsmith,John,Smith,john.smith@gmail.com,Chief Information Officer,superadmin,judeharvey,asdfvcxz
terryday,Terry,Day,terry.day@gmail.com,Chief Technology Officer,csuite,judeharvey,asdfwerew
drewmoss,Drew,Moss,drew.moss@gmail.com,Vice President of Technology,vicepresident,terryday,jalsdvcxzasd
danesutton,Dane,Sutton,dane.sutton@gmail.com,Vice President of Data,vicepresident,terryday,vcxzwelkrjz
caseythomas,Casey,Thomas,casey.thomas@gmail.com,Director Of Engineering,director,drewmoss,vcfesfaowkjdz
clemgoodwin,Clem,Goodwin,clem.goodwin@gmail.com,Engineering Manager,manager,caseythomas,vxfewfjesfcxzwq
sammycombs,Sammy,Combs,sammy.combs@gmail.com,Software Engineer,individual_contributor,clemgoodwin,sdfsdvsfwawq
skyeray,Skye,Ray,skye.ray@gmail.com,Software Engineer,individual_contributor,clemgoodwin,dsvwerwrzvdsa
phoenixdurham,Phoenix,Durham,phoenix.durham@gmail.com,Senior Software Engineer,individual_contributor,caseythomas,vdsfewrfewaz
danekane,Dane,Kane,dane.kane@gmail.com,Principal Software Engineer,individual_contributor,danesutton,rwerjefvdjasa
valcox,Val,Cox,val.cox@gmail.com,Engineering Manager,manager,danesutton,rewrewfdszvsa
dennymoss,Denny,Moss,denny.moss@gmail.com,Chief Financial Officer,csuite,judeharvey,fdsfoajvldsvsz
leighmorgan,Leigh,Morgan,leigh.morgan@gmail.com,Vice President of Finance,vicepresident,dennymoss,vdsfewrfqewf
leebrooks,Lee,Brooks,lee.brooks@gmail.com,IT Manager,admin,johnsmith,asdfwefvdvaw
